Acoustic;Aggressive;AvgLoudness;BeatCount;BpmG;Danceable;Dark;Electronic;GenreDor;GenreEle;GenreRos;GenreTza;Happy;Instrumental;Length;Party;Relaxed;RhythmDance;Sad;Tonal
0.6102135;0.09115273;0.14534914;433;125.0;0.15531778;0.853769;0.08353078;electronic;ambient;cla;jaz;0.34999496;0.0072650313;223.93333;0.120176315;0.7565817;Tango;0.46444714;0.22998804;
0.0;0.9959523;0.970794;489;148.0;0.004587531;0.55164206;0.71508616;electronic;trance;roc;jaz;0.8980765;5.2529573E-4;199.4449;0.9693256;0.05187422;ChaChaCha;0.09426534;0.9841385;
0.978788;0.034668386;0.16594225;336;97.0;0.07947832;0.003897667;0.10479158;folkcountry;ambient;jaz;jaz;0.6357271;2.567172E-4;206.39346;0.15912479;0.5604209;ChaChaCha;0.62453467;0.84064114;
0.7085646;0.14655113;0.6677048;324;99.0;0.43239874;7.212162E-6;0.13333601;folkcountry;ambient;pop;jaz;0.4234969;0.031979322;192.8;0.21841598;0.73885703;ChaChaCha;0.70481473;0.7741593;
0.046690047;0.8191726;0.93027115;321;172.0;0.9974668;0.9842716;0.74453473;electronic;trance;pop;jaz;0.5884785;0.012825906;113.99837;0.73178864;0.0150004625;ChaChaCha;0.13414943;0.85998833;
0.026664555;0.88006276;0.9196941;484;135.0;0.30756336;0.10914159;0.51004106;electronic;ambient;roc;jaz;0.36440188;0.30485415;214.17796;0.75227004;0.04793024;Tango;0.1086874;0.07718933;
0.0039662123;0.86113906;0.96863055;340;120.0;0.98833776;0.8673138;0.96411085;electronic;ambient;pop;jaz;0.2998252;0.99603796;168.56816;0.72965556;0.15027303;ChaChaCha;0.06642109;0.031495273;
0.0041399;0.38460106;0.9623994;425;131.0;0.9989774;0.27621377;0.5564554;electronic;trance;dan;jaz;0.96841526;0.29219788;194.19429;0.89448875;0.023269534;ChaChaCha;0.07494664;0.95835394;
0.17288023;0.05836594;0.48428273;247;120.0;0.078869045;0.957723;0.57392615;blues;house;jaz;hip;0.69118094;0.0013639331;123.026665;0.5331646;0.8327524;Tango;0.38194966;0.10045385;
0.44228536;0.04013425;0.6737983;427;143.0;0.11547178;0.89345086;0.100188494;electronic;ambient;pop;jaz;0.6495394;0.5662202;203.59837;0.109202504;0.7657331;Tango;0.25001514;0.23106176;
0.007699251;0.0;0.93321306;479;101.0;0.0;0.38381773;0.9379866;electronic;trance;dan;jaz;0.35663545;0.012209058;287.03348;1.1146069E-5;0.8088171;ChaChaCha;0.39880943;0.84672266;
0.08926797;0.009447575;0.9795805;395;91.0;0.99646795;0.04179156;0.45763618;electronic;house;pop;jaz;0.58337533;0.6123198;258.62668;0.47531688;0.669996;ChaChaCha;0.25073236;0.8525889;
5.9604645E-7;0.9999559;0.9470359;477;133.0;0.0;0.039790094;0.3646947;electronic;trance;roc;jaz;0.9246792;0.0018370152;212.40163;0.8227888;0.049251735;ChaChaCha;0.03506571;0.91713154;
0.8739459;0.06636596;0.53753066;351;172.0;0.02828288;0.8491556;0.56132936;electronic;ambient;cla;jaz;0.040896833;0.99131995;134.42612;0.14592153;0.9197629;VienneseWaltz;0.6285326;0.6298066;
4.7683716E-6;0.9979036;0.97322947;500;100.0;0.0;0.9296963;0.89654857;electronic;trance;roc;jaz;0.7125475;0.0011584759;300.48654;0.87301254;0.06323373;VienneseWaltz;0.048107803;0.06480354;
